ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioCue, Time, MazeLocation, Gender, VideoGame
0, D, Ego, 5, 2, Rotate Right, 0, 3, 3/19/2020 7:28:31 PM, (9 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:33 PM, (1 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:34 PM, (3 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:34 PM, (5 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:35 PM, (7 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:35 PM, (9 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:37 PM, (7 : 1)
0, D, Allo, 5, 1, Down, 0, 0, 3/19/2020 7:28:37 PM, (9 : 1)
0, D, Allo, 5, 2, Down, 0, 0, 3/19/2020 7:28:39 PM, (3 : 1)
0, D, Allo, 5, 2, Down, 0, 0, 3/19/2020 7:28:39 PM, (5 : 1)
0, D, Allo, 5, 2, Down, 0, 0, 3/19/2020 7:28:40 PM, (7 : 1)
0, D, Allo, 5, 2, Down, 0, 0, 3/19/2020 7:28:40 PM, (9 : 1)
0, D, Ego, 1, 1, Forward, 0, 0, 3/19/2020 7:28:42 PM, (1 : 13)
0, D, Ego, 1, 1, Rotate Right, 0, 0, 3/19/2020 7:28:42 PM, (1 : 13)
0, D, Ego, 1, 1, Forward, 0, 0, 3/19/2020 7:28:43 PM, (1 : 11)
0, D, Ego, 1, 1, Rotate Left, 0, 0, 3/19/2020 7:28:43 PM, (1 : 11)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:44 PM, (3 : 11)
0, D, Ego, 1, 1, Rotate Left, 0, 9, 3/19/2020 7:28:44 PM, (3 : 11)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:45 PM, (3 : 13)
0, D, Ego, 1, 1, Rotate Right, 0, 9, 3/19/2020 7:28:45 PM, (3 : 13)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:46 PM, (5 : 13)
0, D, Ego, 1, 1, Rotate Right, 0, 9, 3/19/2020 7:28:46 PM, (5 : 13)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:46 PM, (5 : 11)
0, D, Ego, 1, 1, Rotate Left, 0, 9, 3/19/2020 7:28:46 PM, (5 : 11)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:47 PM, (7 : 11)
0, D, Ego, 1, 1, Rotate Right, 0, 9, 3/19/2020 7:28:47 PM, (7 : 11)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:48 PM, (7 : 7)
0, D, Ego, 1, 1, Rotate Left, 0, 9, 3/19/2020 7:28:48 PM, (7 : 7)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:49 PM, (11 : 7)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:50 PM, (13 : 7)
0, D, Ego, 1, 1, Rotate Left, 0, 9, 3/19/2020 7:28:50 PM, (13 : 7)
0, D, Ego, 1, 1, Forward, 0, 9, 3/19/2020 7:28:51 PM, (13 : 9)
0, D, Ego, 1, 1, Rotate Right, 0, 9, 3/19/2020 7:28:51 PM, (13 : 9)
0, D, Ego, 1, 1, Forward, 0, 0, 3/19/2020 7:28:54 PM, (1 : 7)
0, D, Ego, 1, 1, Rotate Right, 0, 0, 3/19/2020 7:28:54 PM, (1 : 7)
0, D, Ego, 1, 1, Forward, 0, 0, 3/19/2020 7:28:55 PM, (3 : 7)
0, D, Ego, 1, 1, Rotate Right, 0, 0, 3/19/2020 7:28:55 PM, (3 : 7)
0, D, Ego, 1, 1, Rotate Right, 0, 0, 3/19/2020 7:28:56 PM, (3 : 7)
0, D, Ego, 1, 1, Forward, 1, 0, 3/19/2020 7:28:56 PM, (1 : 7)
0, D, Ego, 1, 1, Rotate Left, 1, 0, 3/19/2020 7:28:57 PM, (1 : 7)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:28:58 PM, (1 : 1)
0, D, Ego, 1, 1, Rotate Left, 1, 8, 3/19/2020 7:28:58 PM, (1 : 1)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:28:59 PM, (5 : 1)
0, D, Ego, 1, 1, Rotate Left, 1, 8, 3/19/2020 7:29:03 PM, (5 : 1)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:29:04 PM, (5 : 3)
0, D, Ego, 1, 1, Rotate Right, 1, 8, 3/19/2020 7:29:04 PM, (5 : 3)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:29:05 PM, (7 : 3)
0, D, Ego, 1, 1, Rotate Right, 1, 8, 3/19/2020 7:29:05 PM, (7 : 3)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:29:06 PM, (7 : 1)
0, D, Ego, 1, 1, Rotate Left, 1, 8, 3/19/2020 7:29:06 PM, (7 : 1)
0, D, Ego, 1, 1, Forward, 1, 8, 3/19/2020 7:29:06 PM, (9 : 1)
0, D, Ego, 1, 1, Rotate Left, 1, 8, 3/19/2020 7:29:07 PM, (9 : 1)
0, D, Ego, 1, 1, Forward, 1, 0, 3/19/2020 7:29:08 PM, (9 : 5)
0, D, Ego, 1, 1, Rotate Left, 1, 0, 3/19/2020 7:29:08 PM, (9 : 5)
0, D, Ego, 1, 1, Forward, 1, 0, 3/19/2020 7:29:09 PM, (7 : 5)
0, D, Ego, 1, 1, Rotate Right, 1, 0, 3/19/2020 7:29:09 PM, (7 : 5)
0, D, Ego, 1, 1, Forward, 1, 0, 3/19/2020 7:29:10 PM, (7 : 7)
0, D, Ego, 1, 1, Rotate Right, 1, 0, 3/19/2020 7:29:10 PM, (7 : 7)
0, D, Ego, 1, 1, Forward, 1, 0, 3/19/2020 7:29:11 PM, (11 : 7)
0, D, Ego, 1, 1, Forward, 1, 7, 3/19/2020 7:29:11 PM, (13 : 7)
0, D, Ego, 1, 1, Rotate Left, 1, 7, 3/19/2020 7:29:11 PM, (13 : 7)
0, D, Ego, 1, 1, Forward, 1, 7, 3/19/2020 7:29:12 PM, (13 : 9)
0, D, Ego, 1, 1, Rotate Right, 1, 7, 3/19/2020 7:29:12 PM, (13 : 9)
0, D, Ego, 1, 2, Forward, 0, 0, 3/19/2020 7:29:15 PM, (3 : 13)
0, D, Ego, 1, 2, Rotate Left, 0, 0, 3/19/2020 7:29:15 PM, (3 : 13)
0, D, Ego, 1, 2, Forward, 0, 0, 3/19/2020 7:29:15 PM, (3 : 11)
0, D, Ego, 1, 2, Rotate Right, 0, 0, 3/19/2020 7:29:16 PM, (3 : 11)
0, D, Ego, 1, 2, Forward, 0, 0, 3/19/2020 7:29:16 PM, (1 : 11)
0, D, Ego, 1, 2, Rotate Left, 0, 0, 3/19/2020 7:29:16 PM, (1 : 11)
0, D, Ego, 1, 2, Rotate Left, 0, 0, 3/19/2020 7:29:17 PM, (1 : 11)
0, D, Ego, 1, 2, Rotate Left, 0, 0, 3/19/2020 7:29:17 PM, (1 : 11)
0, D, Ego, 1, 2, Rotate Right, 0, 0, 3/19/2020 7:29:18 PM, (1 : 11)
0, D, Ego, 1, 2, Rotate Right, 0, 0, 3/19/2020 7:29:18 PM, (1 : 11)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:19 PM, (1 : 9)
0, D, Ego, 1, 2, Rotate Left, 0, 8, 3/19/2020 7:29:19 PM, (1 : 9)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:20 PM, (5 : 9)
0, D, Ego, 1, 2, Rotate Right, 0, 8, 3/19/2020 7:29:20 PM, (5 : 9)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:21 PM, (5 : 7)
0, D, Ego, 1, 2, Rotate Left, 0, 8, 3/19/2020 7:29:21 PM, (5 : 7)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:22 PM, (7 : 7)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:23 PM, (11 : 7)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:23 PM, (13 : 7)
0, D, Ego, 1, 2, Rotate Left, 0, 8, 3/19/2020 7:29:23 PM, (13 : 7)
0, D, Ego, 1, 2, Forward, 0, 8, 3/19/2020 7:29:24 PM, (13 : 9)
0, D, Ego, 1, 2, Rotate Right, 0, 8, 3/19/2020 7:29:24 PM, (13 : 9)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:26 PM, (1 : 13)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:29:26 PM, (1 : 11)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:29:27 PM, (1 : 9)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:28 PM, (5 : 9)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:29:28 PM, (5 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:29 PM, (7 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:29 PM, (11 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:30 PM, (13 : 7)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:29:30 PM, (13 : 9)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:29:32 PM, (5 : 3)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:32 PM, (7 : 3)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:29:33 PM, (7 : 1)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:33 PM, (9 : 1)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:34 PM, (13 : 1)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:29:35 PM, (13 : 3)
0, D, Allo, 1, 1, Up, 0, 0, 3/19/2020 7:29:35 PM, (11 : 3)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:29:36 PM, (11 : 5)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:29:36 PM, (13 : 5)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:29:36 PM, (13 : 7)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:29:37 PM, (13 : 9)
0, D, Allo, 1, 2, Left, 0, 0, 3/19/2020 7:29:39 PM, (7 : 1)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:29:40 PM, (9 : 1)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:29:41 PM, (13 : 1)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:29:41 PM, (13 : 3)
0, D, Allo, 1, 2, Up, 0, 0, 3/19/2020 7:29:41 PM, (11 : 3)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:29:42 PM, (11 : 5)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:29:43 PM, (13 : 5)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:29:43 PM, (13 : 7)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:29:43 PM, (13 : 9)
0, S, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:29:43 PM, (13 : 9), Male, 1
